Time,Prophet 30d default,Prophet 30d default no_ex,Prophet 60d default no_ex,Prophet 120d default no_ex,Prophet 240d default no_ex,Prophet 240d default,Prophet 60d default,Prophet 120d default
2019-07-21 19:00:00,1101845.332258447,1148408.5483576655,1126484.3133087722,1133202.8253626907,1161249.7305147508,1117518.889068425,1090980.4140370034,1083225.2901544
2019-07-21 20:00:00,1071264.913805526,1120234.5572400384,1098610.7216558375,1103848.316112104,1132387.697241764,1088271.9239723105,1062579.8832084676,1055051.4690613772
2019-07-21 21:00:00,1048323.5890733199,1099420.1509564917,1079147.179196534,1084218.1215681597,1109019.0271166123,1063606.8605646645,1041938.8957326994,1035424.2057910155
2019-07-21 22:00:00,1019700.6805387036,1079116.7440846367,1059726.230336833,1065499.1653990883,1086088.2504901136,1034587.0601061254,1014634.8061084629,1009507.531472628
2019-07-21 23:00:00,985875.2847222978,1056245.2674688392,1036450.9533207625,1042928.5343366395,1061621.2344177228,999732.4277620276,971473.4875771516,969575.6120086159
2019-07-22 00:00:00,1101115.7092267936,1055072.0621230917,1034105.3139407885,1027587.0097614455,1042853.2134473949,1097504.3467441844,1099267.5692280796,1079573.756015897
2019-07-22 01:00:00,1099877.2489665751,1039944.5153432048,1018054.7207045015,1010758.2722522696,1027737.3054565353,1086543.602634055,1092610.151229567,1072419.2211438562
2019-07-22 02:00:00,1103893.2243845954,1032010.5150517103,1009601.2612208421,1000980.4049208614,1019820.1601312971,1080648.855670114,1088365.5634496945,1068535.4792035492
2019-07-22 03:00:00,1072506.7932752483,1027174.4948538528,1004125.9100703624,993843.7862667503,1014984.3725413833,1063279.094345718,1069357.9001637024,1044522.9238346061
2019-07-22 04:00:00,1060849.3301201435,1024956.954666292,1000547.1523148927,988254.7383487958,1012376.7189911718,1057669.7861535011,1065761.4262868266,1036969.973144068
2019-07-22 05:00:00,1067089.7384074174,1035217.1981713906,1008839.4761280979,994166.6786857247,1020512.8496794729,1064791.5636624699,1071993.9811855154,1041387.867918689
2019-07-22 06:00:00,1101805.1341513286,1073881.8293380062,1045830.6573070908,1028691.3478904165,1053650.6080104162,1097173.6985315147,1106544.9908565208,1073926.0105303356
