Time,Prophet 30d,CB Model 30d,Prophet 60d,LR Model 240d,LR Model 30d,LR Model 60d,LR Model 120d,Prophet 120d,Theta 30d,Theta 60d,Theta 120d,Theta 240d,CB Model 60d,CB Model 240d,CB Model 120d,Prophet 240d
2019-11-24 08:00:00,1024189.1764649297,1048122.1895257053,1009470.8131619191,1029974.0034717644,1035806.6626020613,1033897.6925874524,1032807.9908124079,1016817.2680798508,1152509.393925569,1152637.9780522976,1153147.455468764,1154765.5351693628,1043090.98886556,1046380.6004405257,1047021.2748206109,999872.8270250456
2019-11-24 09:00:00,1055503.7056869161,1074014.084071515,1042525.2944373465,1066705.2792024,1073241.3607459706,1071297.7319019036,1070067.1210292976,1052972.6054032776,1231017.571752555,1231486.2079820475,1232607.6218167627,1235113.1798169692,1072259.8930367746,1072376.166715928,1076704.8339460434,1035494.9872484214
2019-11-24 10:00:00,1062543.004675824,1100354.0938803635,1064115.3091708238,1070656.9750402512,1077579.6901646846,1075808.4659385695,1074780.8239804625,1082279.228686983,1279982.458268938,1280563.6568495557,1281762.4578944566,1283621.6729153087,1091615.7845009384,1098600.0056144423,1098707.2859901143,1067830.8932191066
2019-11-24 11:00:00,1082530.3749389348,1115460.009682204,1081090.0079009186,1080105.324945178,1086983.738145688,1085245.2009966667,1083623.9784217589,1100465.2185096976,1295560.5903847138,1296207.8532902633,1297851.2782862724,1299232.319115959,1104388.3416916896,1113321.872072059,1113440.060456097,1090199.2443902846
2019-11-24 12:00:00,1088764.2273446778,1121627.464199665,1090376.7372828026,1082169.9594003612,1089149.1318066767,1087129.3707092372,1084868.0992335654,1105733.9534977844,1294598.8087342156,1295197.0372804576,1297240.0047004467,1298122.5107779824,1113847.0538632066,1118099.4026214457,1119522.0638576513,1098629.7403222297
2019-11-24 13:00:00,1081999.2959376306,1119573.0842469288,1086205.9350530403,1080740.9097098752,1087809.3283295317,1085438.2776980563,1082864.4759356203,1099559.8041296254,1285195.7615733098,1285869.1544700775,1288363.5193786183,1288693.4629449095,1117028.4806032781,1117327.8532718138,1117855.6242617164,1093202.3996972365
2019-11-24 14:00:00,1083939.3152009323,1118063.387037084,1087785.0200892675,1092316.636842558,1099367.3794011823,1096887.0519024446,1094507.6987024755,1098987.1915630344,1292482.6871713775,1293324.4107981583,1296137.6434053446,1295661.5299726161,1115907.566291226,1115916.5904879784,1115203.5642947967,1088921.8763097571
2019-11-24 15:00:00,1085232.988973678,1115204.339557679,1090728.7967341365,1096772.0194200932,1103880.2800597902,1101285.2419790043,1099268.4342056096,1097557.279806563,1290075.1890027071,1291021.8811336288,1294000.533556534,1293099.294967752,1113614.6258186218,1113566.9345615397,1111755.411922563,1090959.2873731777
2019-11-24 16:00:00,1087824.4720301484,1112736.4338849774,1090306.9593717046,1095164.0257176296,1102280.19190152,1099476.3441271228,1097765.1379093227,1095024.8216340763,1280033.8785208708,1280817.681417574,1283615.790501978,1282367.4121999887,1109138.2279668616,1107683.7143897829,1105907.1207263623,1086898.2793421333
2019-11-24 17:00:00,1086929.6536456547,1113031.8848619484,1087012.4965749467,1099556.4538478933,1106367.1202325637,1103539.8767471306,1102119.779180037,1089007.1512312477,1257224.4620726327,1258058.8548215716,1260191.2831781083,1258795.3181368827,1107538.7800738793,1105180.6656066386,1106308.3656297645,1077948.6244394502
2019-11-24 18:00:00,1106433.4330192294,1115873.0683186594,1105506.3338745807,1114752.0019765582,1120706.7223165692,1118086.1151952879,1116953.0429561837,1101961.5752159618,1228946.5040651488,1230410.7614213019,1232832.1997400941,1230383.9990695403,1110866.3472871096,1107231.8722583933,1109472.7974467382,1082677.697874781
2019-11-24 19:00:00,1097476.96683128,1112567.4353590875,1091021.209523403,1109178.1107142223,1114396.3017294419,1111874.3597575151,1110796.8525168374,1097126.4776818992,1191374.5866710087,1191998.9938353684,1194101.893516339,1192625.4342758907,1109816.633674754,1105660.5153555926,1106561.4882132767,1083113.632144684
2019-11-24 20:00:00,1099960.181756896,1106369.7661502955,1089664.205698658,1103807.177306982,1108441.24782845,1106087.5552561532,1105076.5853276057,1093792.3538526434,1153686.235275019,1154085.5525452036,1155648.5667187849,1154480.4391745925,1103882.147601815,1100660.1458196023,1101177.362106416,1082599.0702894146
