Time,Prophet_optimized
2018-01-15 07:00:00,995257.5610710323
2018-01-15 08:00:00,1079829.8779790653
2018-01-15 09:00:00,1160494.3139240025
2018-01-15 10:00:00,1205881.7513000958
2018-01-15 11:00:00,1216824.5107754744
2018-01-15 12:00:00,1216516.67554174
2018-01-15 13:00:00,1207953.0696066667
2018-01-15 14:00:00,1219772.5143266376
2018-01-15 15:00:00,1216651.2547945206
2018-01-15 16:00:00,1204915.7351905971
2018-01-15 17:00:00,1188888.8037941104
2018-01-15 18:00:00,1184244.138000871
2018-01-15 19:00:00,1144689.7286471857
2018-01-15 20:00:00,1102557.4808967721
2018-01-15 21:00:00,1063506.2983189328
2018-01-15 22:00:00,1024064.4085036117
2018-01-15 23:00:00,989849.9233008949
2018-01-16 00:00:00,970081.047426065
2018-01-16 01:00:00,948827.3930237564
2018-01-16 02:00:00,937626.9083508733
2018-01-16 03:00:00,933118.1938115224
2018-01-16 04:00:00,930337.0263891213
2018-01-16 05:00:00,950605.2967491238
2018-01-16 06:00:00,980283.0808962783
2018-01-16 07:00:00,1029978.9709749412
2018-01-16 08:00:00,1110268.9749636627
2018-01-16 09:00:00,1194287.1009081814
2018-01-16 10:00:00,1237242.6600157162
2018-01-16 11:00:00,1251155.4118090442
2018-01-16 12:00:00,1258401.7012347751
2018-01-16 13:00:00,1253121.6508012952
2018-01-16 14:00:00,1263297.7155620076
2018-01-16 15:00:00,1260792.8253518953
2018-01-16 16:00:00,1245162.2179194256
2018-01-16 17:00:00,1217139.326383401
2018-01-16 18:00:00,1182227.6869894578
2018-01-16 19:00:00,1135368.0524928335
2018-01-16 20:00:00,1090046.4287019172
2018-01-16 21:00:00,1057657.983969314
2018-01-16 22:00:00,1017139.1873820536
2018-01-16 23:00:00,983931.4906700669
2018-01-17 00:00:00,983599.7312231282
2018-01-17 01:00:00,972130.9264863163
2018-01-17 02:00:00,954739.1211523927
2018-01-17 03:00:00,942370.0825480734
2018-01-17 04:00:00,944891.5169374612
2018-01-17 05:00:00,958699.9752525735
2018-01-17 06:00:00,981637.8810963
2018-01-17 07:00:00,1032519.5235689064
2018-01-17 08:00:00,1115393.0445856445
2018-01-17 09:00:00,1189279.1395659088
2018-01-17 10:00:00,1234841.5123390495
2018-01-17 11:00:00,1251753.2139435678
2018-01-17 12:00:00,1258915.6198230681
2018-01-17 13:00:00,1250823.2456605968
2018-01-17 14:00:00,1271175.4922427852
2018-01-17 15:00:00,1272961.353269183
2018-01-17 16:00:00,1261369.979537594
2018-01-17 17:00:00,1227799.7077144785
2018-01-17 18:00:00,1193891.7065710188
2018-01-17 19:00:00,1153226.6854933412
