Time,Prophet 30d default,Prophet 30d default no_ex,Prophet 60d default no_ex,Prophet 120d default no_ex,Prophet 240d default no_ex,Prophet 240d default,Prophet 60d default,Prophet 120d default
2019-01-02 17:00:00,1186916.4109742178,1185199.9288766056,1217010.8931372492,1202251.1338989607,1171604.2885574515,1189848.7141754078,1223670.011559539,1199952.3798143785
2019-01-02 18:00:00,1165877.4934699547,1165217.9741414657,1190547.9475947227,1168964.862040639,1136345.848428008,1152056.730574276,1196193.9715292477,1166739.1211357154
2019-01-02 19:00:00,1140403.6830985155,1138183.6235841075,1158175.5187383061,1131100.1357335777,1098115.7796215692,1114097.1665138435,1164644.5764963662,1130196.6051415105
2019-01-02 20:00:00,1109346.7591565587,1108467.1450407072,1126165.2813413644,1096484.4455071494,1064575.2898349056,1083316.0494429432,1133243.194912047,1096286.3535264404
2019-01-02 21:00:00,1080213.3295048971,1077996.3994736408,1096008.8981950923,1066215.28898205,1035685.0704314148,1047948.3860816668,1106675.8816889273,1062912.8238111539
2019-01-02 22:00:00,1049850.3071557006,1047186.655783334,1066136.8579087479,1037035.8497208789,1007122.7084928716,1023510.2532992458,1077526.6237494086,1033759.2492660024
2019-01-02 23:00:00,1020103.6841553168,1017576.19318473,1036513.7202555991,1007372.212027103,977202.9298441818,988093.7725728663,1044921.0276303593,1004064.4959319982
2019-01-03 00:00:00,1012997.660729056,1010770.2355630301,1013566.5927006361,986341.5369445808,951652.074723755,953661.5206749014,1012152.6379664381,978259.8834908209
2019-01-03 01:00:00,993402.0092614035,992448.496466884,994114.7145235959,964664.6220968252,930019.6668280745,930387.4192300709,990934.3646624328,956484.7210607717
2019-01-03 02:00:00,980379.5187031382,980272.8821085747,981113.1495520642,948820.7424306324,914593.8170418513,916454.564087156,977494.9866366857,940752.4138455978
2019-01-03 03:00:00,973125.2788565368,971426.5102276015,971533.4331867783,935911.3353926918,901827.9020189331,905914.3164981371,968206.168372628,929915.8393471137
2019-01-03 04:00:00,965082.9389871013,965990.8651270859,965100.3206298258,926090.0413661284,891764.6543790959,894443.0354642749,959404.3511955314,923662.6547726186
2019-01-03 05:00:00,972962.4048962954,970201.2628600057,968540.3832706679,927377.2985877348,893395.761399229,896113.0001970846,966167.0464245873,925042.6265473908
2019-01-03 06:00:00,999294.9548421584,993468.9124080406,992680.3633881095,952355.4487816184,920679.2290478665,925612.1883455921,993230.9350807517,949471.1415727566
2019-01-03 07:00:00,1040634.8322521031,1040193.6678020388,1043083.2789964097,1007462.6345328863,980437.5870891092,976714.2930923691,1039444.8364636683,1007349.6859794453
2019-01-03 08:00:00,1102773.0415449294,1103138.8279034859,1112058.2455334102,1083913.6774678172,1062510.4758050314,1058522.6653776143,1108306.022417988,1085031.320597765
2019-01-03 09:00:00,1169187.6574547412,1165007.8543288687,1180130.9088308006,1159547.9923521518,1142335.9889636359,1149744.44997384,1182452.3768047746,1158404.8940749317
2019-01-03 10:00:00,1213426.0892276901,1208256.0164522869,1227336.9838445627,1211899.1061939176,1195742.0664945513,1213344.2402653685,1229730.1461745633,1212524.3412524974
2019-01-03 11:00:00,1227663.2865128957,1225835.6236086565,1245801.116294329,1232495.4593379206,1214471.9937723677,1233613.1098794471,1245071.4765686444,1234978.3095227515
2019-01-03 12:00:00,1226360.9250846445,1224341.6457002275,1243384.6169879078,1230636.522741842,1209611.7416421173,1230500.8407476395,1243690.3272974128,1233342.7021744205
2019-01-03 13:00:00,1220373.3799446356,1217267.997259784,1235612.5607604785,1223712.3639534924,1200338.9680096284,1224897.8249891186,1238076.5283200727,1227244.3565784728
2019-01-03 14:00:00,1217413.0698738138,1214273.307332318,1232996.6416876074,1222644.508309878,1198014.5315979512,1223765.3584206444,1236737.5362392073,1226732.6913827348
2019-01-03 15:00:00,1219577.4857548696,1215188.790862292,1234296.4547089129,1224727.3029361954,1199061.6419932626,1225830.786998642,1239623.6771561669,1229123.163344003
2019-01-03 16:00:00,1217041.1541038868,1212716.7770340017,1230350.7595223254,1218888.4573647832,1191464.74998164,1217494.7136759632,1236180.7024772097,1224066.6187350068
2019-01-03 17:00:00,1206055.1864794404,1200094.8986152837,1213659.193626363,1197219.3486908167,1167444.012706524,1193805.5909248015,1221284.0768328898,1203022.7345026345
2019-01-03 18:00:00,1183402.913623122,1176480.0371341913,1184648.0742732924,1161907.928051547,1130328.5853054866,1155489.3797828725,1193396.9830632468,1169009.4164141275
2019-01-03 19:00:00,1152564.432331251,1146127.0480967397,1149881.7418958205,1122233.8587635392,1090422.4660947674,1112633.1038568728,1158685.1106389237,1131358.3336819962
2019-01-03 20:00:00,1121524.635069114,1113726.1681457595,1115517.1969863472,1086033.095826895,1055450.5043255659,1080251.1544662996,1124702.8300982595,1097802.612228358
2019-01-03 21:00:00,1090142.6984508275,1081261.269855255,1083104.319832627,1054463.0329531229,1025428.0443232892,1046120.5187683632,1093401.9411412932,1066600.2913041334
2019-01-03 22:00:00,1057835.4815492912,1049031.2065025147,1051249.3592027405,1024330.8502925334,996064.3030576286,1015774.3771260264,1063490.9561882904,1033068.2687351982
2019-01-03 23:00:00,1024564.0970414506,1018511.1746118664,1020061.9610486284,994087.6881653742,965689.1453088654,985248.3656734333,1028949.510565527,1001630.70652306
2019-01-04 00:00:00,1001480.4798184882,998224.5084152439,993793.3364142883,973735.8734410631,941584.3196748488,954999.6092625234,996070.6740786862,977150.1396201699
2019-01-04 01:00:00,983028.2192330613,980150.148794265,973777.3352063699,952201.3623923871,920191.8163727786,931360.1232125746,976298.8535507096,952609.7403115947
2019-01-04 02:00:00,969013.8821387447,968651.559301255,960494.4127321674,936846.8921198384,905314.1513789734,915101.4106046823,960798.0319642297,938032.7059888792
2019-01-04 03:00:00,959167.6108789259,960803.2674399765,950915.7281407237,924785.159096622,893389.3734866886,901646.6231043851,949539.2551665937,927351.7441741482
2019-01-04 04:00:00,956132.8537631145,956599.9628718565,945001.9776339441,916194.3447950203,884426.791007095,893568.3983879857,944363.563395751,920131.7968106313
2019-01-04 05:00:00,963476.3136999715,962262.784119139,949748.7893255863,919086.1421809868,887359.3555878128,894479.9423694238,950246.2549259808,924259.9292104859
2019-01-04 06:00:00,992080.4914226794,987252.1280760851,976001.9262624984,945974.5224820696,916080.3146125001,918750.8468830982,978157.3292174467,950972.2485404132
2019-01-04 07:00:00,1040161.854344547,1036023.2830699682,1028996.5055011276,1003195.3937472941,977375.7466910447,968973.1373817724,1029455.4768837915,1009461.0366112784
2019-01-04 08:00:00,1103390.7795997357,1101345.534300288,1100562.1433570527,1081886.2727202964,1061093.5172928204,1047438.3252496637,1099250.8185067293,1088890.809783804
2019-01-04 09:00:00,1169941.9740235484,1165864.6848524376,1170919.3433411578,1159871.7462789193,1142701.1748506587,1144533.8534644032,1172618.994835514,1166337.6474485584
2019-01-04 10:00:00,1224602.4541588062,1211940.2496569566,1220147.1777076419,1214711.9528354597,1198028.469590017,1202554.0810596833,1227975.5363157792,1220234.3516523428
2019-01-04 11:00:00,1244966.8260257756,1232422.2757588376,1240642.7509853188,1237940.9619727824,1218759.7225617156,1234952.9076079247,1246296.3250155807,1247069.0713606344
2019-01-04 12:00:00,1244829.0883350612,1233807.0940386606,1240481.1422710791,1238796.0990464638,1215874.442576425,1232220.9608476316,1246395.666273356,1247000.8006074335
2019-01-04 13:00:00,1240190.717619084,1229486.9023714247,1235151.383858124,1234549.419403039,1208446.2952071559,1226208.9167974773,1241618.8043094892,1242438.8497130051
2019-01-04 14:00:00,1240528.2290498482,1229017.3642395183,1234937.63131266,1236007.4480209053,1207778.3772851448,1227888.0819020541,1242535.4764317626,1244778.1166071938
2019-01-04 15:00:00,1245202.5775962863,1232148.2683854064,1238396.2277157449,1240403.546024788,1210282.5869904188,1233777.7405918685,1247507.5514485466,1250474.5640566577
2019-01-04 16:00:00,1244361.062703208,1231547.360985912,1236332.1767049795,1236656.282346492,1203937.4950013338,1228546.5419345056,1246012.506136622,1248078.0953154166
2019-01-04 17:00:00,1233701.9673220431,1220461.4111315322,1221323.6625646113,1216850.9718695655,1180919.6948995886,1207746.1990929537,1232152.5044589087,1229567.1157308607
2019-01-04 18:00:00,1210295.012961114,1198061.0312192102,1193814.6940884688,1183127.0721522425,1144471.139915823,1171872.1522947506,1204585.5939129074,1197568.6193216222
2019-01-04 19:00:00,1182396.0202309245,1168574.4125198587,1160238.1180676077,1144674.4452193552,1104799.9759520977,1137193.2561754964,1172338.6728515513,1162511.4001761116
2019-01-04 20:00:00,1148605.4256298856,1136616.2454638237,1126566.3029386434,1109241.2835173237,1069569.5325554323,1100395.734447364,1137913.3793568814,1130549.073088746
2019-01-04 21:00:00,1121386.3573316657,1104086.3366282198,1094286.6923721104,1077939.7675153369,1038781.906977502,1072414.9169788233,1110295.4813603396,1100413.0160924164
