iter	Passed	Remaining
733	1094	396
734	1095	395
735	1097	393
736	1098	392
737	1100	390
738	1102	389
739	1103	387
740	1104	386
741	1106	384
742	1107	383
743	1109	381
744	1110	380
745	1112	378
746	1113	377
747	1114	375
748	1116	374
749	1117	372
750	1119	371
751	1120	369
752	1121	368
753	1123	366
754	1124	365
755	1126	363
756	1127	362
757	1128	360
758	1130	358
759	1131	357
760	1132	355
761	1134	354
762	1135	352
763	1137	351
764	1138	349
765	1139	348
766	1141	346
767	1143	345
768	1145	344
769	1147	342
770	1148	341
771	1149	339
772	1151	338
773	1152	336
774	1154	335
775	1156	333
776	1157	332
777	1159	330
778	1160	329
779	1162	327
780	1163	326
781	1165	324
782	1166	323
783	1168	321
784	1169	320
785	1170	318
786	1172	317
787	1173	315
788	1175	314
789	1176	312
790	1178	311
791	1179	309
792	1180	308
793	1182	306
794	1183	305
795	1185	303
796	1186	302
797	1187	300
798	1189	299
799	1191	297
800	1192	296
801	1193	294
802	1195	293
803	1197	291
804	1198	290
805	1199	288
806	1201	287
807	1203	285
808	1204	284
809	1206	282
810	1207	281
811	1209	279
812	1210	278
813	1212	277
814	1214	275
815	1215	274
816	1217	272
817	1218	271
818	1220	269
819	1221	268
820	1223	266
821	1224	265
822	1226	263
823	1227	262
824	1229	260
825	1230	259
826	1232	257
827	1234	256
828	1235	254
829	1237	253
830	1239	252
831	1240	250
832	1242	249
833	1243	247
834	1245	246
835	1246	244
836	1247	243
837	1249	241
838	1250	239
839	1252	238
840	1253	237
841	1255	235
842	1256	234
843	1258	232
844	1259	231
845	1261	229
846	1262	228
847	1264	226
848	1265	225
849	1267	223
850	1268	222
851	1270	220
852	1271	219
853	1272	217
854	1274	216
855	1275	214
856	1277	213
857	1279	211
858	1280	210
859	1282	208
860	1283	207
861	1285	205
862	1286	204
863	1288	202
864	1289	201
865	1291	199
866	1292	198
867	1294	196
868	1295	195
869	1297	193
870	1298	192
871	1299	190
872	1301	189
873	1302	187
874	1303	186
875	1305	184
876	1306	183
877	1308	181
878	1309	180
879	1311	178
880	1312	177
881	1314	175
882	1315	174
883	1317	172
884	1318	171
885	1320	169
886	1322	168
887	1323	166
888	1324	165
889	1326	163
890	1327	162
891	1329	160
892	1330	159
893	1332	157
894	1333	156
895	1334	154
896	1336	153
897	1338	151
898	1339	150
899	1340	148
900	1342	147
901	1344	146
902	1345	144
903	1347	143
904	1348	141
905	1350	140
906	1351	138
907	1353	137
908	1354	135
909	1356	134
910	1357	132
911	1359	131
912	1360	129
913	1362	128
914	1363	126
915	1364	125
916	1366	123
917	1367	122
918	1368	120
919	1370	119
920	1371	117
921	1373	116
922	1374	114
923	1376	113
924	1378	111
925	1379	110
926	1380	108
927	1382	107
928	1383	105
